schemaTuple,visited,timesVisited,id
serviceaccountprivatemetadata,False,0,
serviceaccountmetadata,False,0,
objectwithmetadataprivatemetadata,True,1,75031611-6408-5a7a-b898-ab0e79020af3
objectwithmetadatametadata,True,1,75031611-6408-5a7a-b898-ab0e79020af3
metadataitemkey,True,117,f774c87a-b0b9-563a-9507-61f2049e0345
metadataitemvalue,True,117,f774c87a-b0b9-563a-9507-61f2049e0345
metastorenamespace,False,0,
metastoreclients,False,0,
metaclientstorename,False,0,
metaclientstoremetadata,False,0,
metaitemkey,False,0,
metaitemvalue,False,0,
permissioncode,True,23,2dcbb399-806e-5b53-875f-e8b81ab27d6a
permissionname,True,15,2dcbb399-806e-5b53-875f-e8b81ab27d6a
serviceaccounttokenname,False,0,
serviceaccounttokenauthtoken,False,0,
serviceaccounttokenid,False,0,
appid,True,8,14afdd4f-7ce7-5be9-a797-33185fc0cd36
appname,True,38,724a4656-ef45-5a31-a645-d754a3b60eff
appcreated,True,3,14afdd4f-7ce7-5be9-a797-33185fc0cd36
appisactive,True,8,14afdd4f-7ce7-5be9-a797-33185fc0cd36
apppermissions,True,8,14afdd4f-7ce7-5be9-a797-33185fc0cd36
apptokens,True,8,14afdd4f-7ce7-5be9-a797-33185fc0cd36
appprivatemetadata,True,4,23a269fa-1537-549e-8867-ab9778addaa6
appmetadata,True,4,1259d7db-08d5-520a-9bf7-3dd419d068cd
apptype,True,8,14afdd4f-7ce7-5be9-a797-33185fc0cd36
appwebhooks,True,8,14afdd4f-7ce7-5be9-a797-33185fc0cd36
appaboutapp,True,8,14afdd4f-7ce7-5be9-a797-33185fc0cd36
appdataprivacy,True,8,14afdd4f-7ce7-5be9-a797-33185fc0cd36
appdataprivacyurl,True,8,14afdd4f-7ce7-5be9-a797-33185fc0cd36
apphomepageurl,True,8,14afdd4f-7ce7-5be9-a797-33185fc0cd36
appsupporturl,True,8,14afdd4f-7ce7-5be9-a797-33185fc0cd36
appconfigurationurl,True,8,14afdd4f-7ce7-5be9-a797-33185fc0cd36
appappurl,True,8,14afdd4f-7ce7-5be9-a797-33185fc0cd36
appversion,False,0,
appaccesstoken,True,3,14afdd4f-7ce7-5be9-a797-33185fc0cd36
apptokenname,False,0,
apptokenauthtoken,True,8,14afdd4f-7ce7-5be9-a797-33185fc0cd36
apptokenid,False,0,
webhookcountableconnectionpageinfo,False,0,
webhookcountableconnectionedges,False,0,
webhookcountableconnectiontotalcount,False,0,
pageinfohasnextpage,True,267,b40eee90-1a81-5d74-9b39-b8329459289e
pageinfohaspreviouspage,True,265,b40eee90-1a81-5d74-9b39-b8329459289e
pageinfostartcursor,True,265,b40eee90-1a81-5d74-9b39-b8329459289e
pageinfoendcursor,True,266,b40eee90-1a81-5d74-9b39-b8329459289e
webhookcountableedgenode,False,0,
webhookcountableedgecursor,False,0,
warehouseid,True,18,cd68a001-6b26-5dcf-a0ab-8c1dc1fa495a
warehousename,True,21,fdf9db64-f36c-5304-8935-2d37f26a8a24
warehouseslug,False,0,
warehousecompanyname,True,11,cd68a001-6b26-5dcf-a0ab-8c1dc1fa495a
warehouseshippingzones,True,5,cfd56b12-0dfc-5f3b-9a9a-5459493fd0a6
warehouseaddress,True,5,cfd56b12-0dfc-5f3b-9a9a-5459493fd0a6
warehouseemail,True,11,cd68a001-6b26-5dcf-a0ab-8c1dc1fa495a
shippingzonecountableconnectionpageinfo,False,0,
shippingzonecountableconnectionedges,True,6,cfd56b12-0dfc-5f3b-9a9a-5459493fd0a6
shippingzonecountableconnectiontotalcount,True,1,28848d47-d86b-59e4-8486-a5213b0636ca
shippingzonecountableedgenode,True,6,cfd56b12-0dfc-5f3b-9a9a-5459493fd0a6
shippingzonecountableedgecursor,False,0,
shippingzoneid,True,1,28848d47-d86b-59e4-8486-a5213b0636ca
shippingzonename,True,8,00916ca8-5bd0-5c89-9acb-5d331dc5919d
shippingzonedefault,False,0,
shippingzonepricerange,True,2,00916ca8-5bd0-5c89-9acb-5d331dc5919d
shippingzonecountries,True,5,cfd56b12-0dfc-5f3b-9a9a-5459493fd0a6
shippingzoneshippingmethods,True,4,26213ca8-bbcd-5a98-8d56-30f29f037fe6
shippingzonewarehouses,True,1,28848d47-d86b-59e4-8486-a5213b0636ca
moneyrangestart,True,3,00916ca8-5bd0-5c89-9acb-5d331dc5919d
moneyrangestop,True,3,00916ca8-5bd0-5c89-9acb-5d331dc5919d
moneycurrency,True,125,031cf738-f70f-5003-b4f2-c39b92486d49
moneyamount,True,247,d395a985-5b99-5863-9315-a4209a8fe8a7
countrydisplaycode,True,42,d6f254aa-3f13-57f7-ba3d-a9803751676b
countrydisplaycountry,True,30,d6f254aa-3f13-57f7-ba3d-a9803751676b
countrydisplayvat,True,2,5028675a-e7fe-5ad3-9499-eef02bce3784
vatcountrycode,False,0,
vatstandardrate,True,2,5028675a-e7fe-5ad3-9499-eef02bce3784
vatreducedrates,True,1,6b1c2dc6-48da-598d-8e4d-71be736eb1ef
reducedraterate,True,1,6b1c2dc6-48da-598d-8e4d-71be736eb1ef
reducedrateratetype,True,1,6b1c2dc6-48da-598d-8e4d-71be736eb1ef
shippingmethodid,True,5,20333498-0278-5d8b-b116-f0a74f7988f6
shippingmethodname,True,9,20333498-0278-5d8b-b116-f0a74f7988f6
shippingmethodprice,True,7,20333498-0278-5d8b-b116-f0a74f7988f6
shippingmethodminimumorderprice,True,1,b36385ea-d687-5921-a44d-2e1fed2adcf0
shippingmethodmaximumorderprice,False,0,
shippingmethodminimumorderweight,True,2,00916ca8-5bd0-5c89-9acb-5d331dc5919d
shippingmethodmaximumorderweight,True,2,00916ca8-5bd0-5c89-9acb-5d331dc5919d
shippingmethodtype,True,2,f2a626fc-6f28-577e-bc05-17f4adc61e43
shippingmethodtranslation,True,2,26213ca8-bbcd-5a98-8d56-30f29f037fe6
weightunit,True,16,26e3a3e6-9dd5-5cc4-8708-670dd6986d22
weightvalue,True,16,26e3a3e6-9dd5-5cc4-8708-670dd6986d22
shippingmethodtranslationid,False,0,
shippingmethodtranslationname,True,4,26213ca8-bbcd-5a98-8d56-30f29f037fe6
shippingmethodtranslationlanguage,True,2,26213ca8-bbcd-5a98-8d56-30f29f037fe6
languagedisplaycode,True,31,26213ca8-bbcd-5a98-8d56-30f29f037fe6
languagedisplaylanguage,True,12,0f9d4476-ac2f-5e6a-b4d0-d9549fe92776
addressid,True,18,d6f254aa-3f13-57f7-ba3d-a9803751676b
addressfirstname,True,46,d6f254aa-3f13-57f7-ba3d-a9803751676b
addresslastname,True,46,d6f254aa-3f13-57f7-ba3d-a9803751676b
addresscompanyname,True,23,d6f254aa-3f13-57f7-ba3d-a9803751676b
addressstreetaddress1,True,46,d6f254aa-3f13-57f7-ba3d-a9803751676b
addressstreetaddress2,True,45,d6f254aa-3f13-57f7-ba3d-a9803751676b
addresscity,True,34,d6f254aa-3f13-57f7-ba3d-a9803751676b
addresscityarea,True,19,021b168f-c1e0-5dae-96fa-8f48c76d685b
addresspostalcode,True,34,d6f254aa-3f13-57f7-ba3d-a9803751676b
addresscountry,True,29,d6f254aa-3f13-57f7-ba3d-a9803751676b
addresscountryarea,True,23,d6f254aa-3f13-57f7-ba3d-a9803751676b
addressphone,True,46,d6f254aa-3f13-57f7-ba3d-a9803751676b
addressisdefaultshippingaddress,True,19,d6f254aa-3f13-57f7-ba3d-a9803751676b
addressisdefaultbillingaddress,True,19,d6f254aa-3f13-57f7-ba3d-a9803751676b
warehousecountableconnectionpageinfo,True,5,fdf9db64-f36c-5304-8935-2d37f26a8a24
warehousecountableconnectionedges,True,12,fdf9db64-f36c-5304-8935-2d37f26a8a24
warehousecountableconnectiontotalcount,True,7,cd68a001-6b26-5dcf-a0ab-8c1dc1fa495a
warehousecountableedgenode,True,12,fdf9db64-f36c-5304-8935-2d37f26a8a24
warehousecountableedgecursor,False,0,
translatableitemconnectionpageinfo,False,0,
